date,Temperature,CO2,Humidity,Occupancy
2015-02-02 14:19:00,23.7,749.2,26.272,1
2015-02-02 14:19:59,23.718,760.4,26.29,1
2015-02-02 14:21:00,23.73,769.666666666667,26.23,1
2015-02-02 14:22:00,23.7225,774.75,26.125,1
2015-02-02 14:23:00,23.754,779.0,26.2,1
2015-02-02 14:23:59,23.76,790.0,26.26,1
2015-02-02 14:25:00,23.73,798.0,26.29,1
2015-02-02 14:25:59,23.754,797.0,26.29,1
2015-02-02 14:26:59,23.754,803.2,26.35,1
2015-02-02 14:28:00,23.736,809.0,26.39,1
2015-02-02 14:29:00,23.745,815.25,26.445,1
2015-02-02 14:30:00,23.7,824.0,26.56,1
2015-02-02 14:31:00,23.7,832.0,26.6,1
2015-02-02 14:31:59,23.7,845.333333333333,26.7,1
2015-02-02 14:32:59,23.7,852.4,26.774,1
2015-02-02 14:34:00,23.7,861.0,26.89,1
2015-02-02 14:35:00,23.7,880.0,26.9725,1
2015-02-02 14:36:00,23.6,891.0,26.89,1
2015-02-02 14:37:00,23.64,897.6,26.976,1
2015-02-02 14:38:00,23.65,900.5,27.05,1
2015-02-02 14:38:59,23.64,908.8,27.1,1
2015-02-02 14:39:59,23.6,918.0,27.16,1
2015-02-02 14:41:00,23.6,925.2,27.236,1
2015-02-02 14:42:00,23.6,929.4,27.29,1
2015-02-02 14:43:00,23.6,936.4,27.33,1
2015-02-02 14:44:00,23.6,950.0,27.34,1
2015-02-02 14:44:59,23.625,961.0,27.3925,1
2015-02-02 14:45:59,23.6,963.0,27.39,1
2015-02-02 14:47:00,23.6,958.6,27.412,1
2015-02-02 14:48:00,23.6,965.333333333333,27.5,1
2015-02-02 14:49:00,23.6,979.25,27.525,1
2015-02-02 14:50:00,23.6,978.428571428571,27.6,1
2015-02-02 14:51:00,23.6,983.0,27.6,1
2015-02-02 14:51:59,23.6,992.6,27.54,1
2015-02-02 14:53:00,23.6,997.2,27.6,1
2015-02-02 14:54:00,23.6166666666667,999.5,27.6333333333333,1
2015-02-02 14:55:00,23.6666666666667,1001.0,27.7,1
2015-02-02 14:55:59,23.6,1009.5,27.7,1
2015-02-02 14:57:00,23.6,1019.0,27.7225,1
2015-02-02 14:57:59,23.6,1021.0,27.79,1
2015-02-02 14:58:59,23.6,1024.66666666667,27.8566666666667,1
2015-02-02 15:00:00,23.6,1030.42857142857,27.8042857142857,1
2015-02-02 15:01:00,23.575,1026.25,27.79,1
2015-02-02 15:02:00,23.54,1028.0,27.81,1
2015-02-02 15:03:00,23.6,1034.8,27.978,1
2015-02-02 15:04:00,23.525,1055.5,28.0,1
2015-02-02 15:04:59,23.5,1055.25,27.978,1
2015-02-02 15:06:00,23.5,1050.0,28.0,1
2015-02-02 15:07:00,23.5,1051.25,28.0,1
2015-02-02 15:08:00,23.5,1053.6,28.0,1
2015-02-02 15:08:59,23.5,1055.5,28.0,1
2015-02-02 15:10:00,23.5,1055.0,28.025,1
2015-02-02 15:10:59,23.445,1059.5,28.125,1
2015-02-02 15:11:59,23.39,1060.0,28.18,1
2015-02-02 15:13:00,23.39,1073.6,28.2,1
2015-02-02 15:14:00,23.39,1078.6,28.2,1
2015-02-02 15:15:00,23.39,1081.0,28.2,1
2015-02-02 15:16:00,23.39,1082.0,28.2225,1
2015-02-02 15:16:59,23.39,1088.83333333333,28.3733333333333,1
2015-02-02 15:17:59,23.37,1090.6,28.39,1
2015-02-02 15:19:00,23.39,1086.0,28.3233333333333,1
2015-02-02 15:20:00,23.3733333333333,1092.5,28.445,1
2015-02-02 15:21:00,23.39,1103.75,28.5,1
2015-02-02 15:22:00,23.3233333333333,1104.5,28.5,1
2015-02-02 15:23:00,23.365,1103.5,28.5,1
2015-02-02 15:23:59,23.29,1112.0,28.5,1
2015-02-02 15:24:59,23.3066666666667,1105.66666666667,28.5333333333333,1
2015-02-02 15:26:00,23.29,1104.0,28.7,1
2015-02-02 15:27:00,23.29,1117.2,28.7,1
2015-02-02 15:28:00,23.29,1121.25,28.675,1
2015-02-02 15:29:00,23.29,1115.66666666667,28.6166666666667,1
2015-02-02 15:29:59,23.29,1120.0,28.66,1
2015-02-02 15:30:59,23.29,1123.75,28.55,1
2015-02-02 15:32:00,23.29,1116.0,28.6,1
2015-02-02 15:33:00,23.272,1126.8,28.6,1
2015-02-02 15:34:00,23.2,1112.75,28.4175,1
2015-02-02 15:35:00,23.23,1104.5,28.5,1
2015-02-02 15:36:00,23.29,1108.0,28.5,1
2015-02-02 15:36:59,23.215,1127.83333333333,28.6333333333333,1
2015-02-02 15:38:00,23.2,1128.75,28.6,1
2015-02-02 15:39:00,23.2,1124.25,28.65,1
2015-02-02 15:40:00,23.2,1130.4,28.62,1
2015-02-02 15:40:59,23.2,1138.0,28.7,1
2015-02-02 15:42:00,23.2,1144.0,28.7,1
2015-02-02 15:42:59,23.2,1140.0,28.718,1
2015-02-02 15:43:59,23.2,1139.25,28.79,1
2015-02-02 15:45:00,23.2,1167.33333333333,28.79,1
2015-02-02 15:46:00,23.14,1159.6,28.79,1
2015-02-02 15:47:00,23.15,1157.75,28.89,1
2015-02-02 15:48:00,23.15,1159.5,28.89,1
2015-02-02 15:49:00,23.18,1156.4,28.83,1
2015-02-02 15:49:59,23.1166666666667,1160.0,28.945,1
2015-02-02 15:51:00,23.14,1169.8,28.956,1
2015-02-02 15:52:00,23.1,1176.16666666667,29.0,1
2015-02-02 15:53:00,23.1,1175.25,29.075,1
2015-02-02 15:53:59,23.1,1166.6,28.918,1
2015-02-02 15:55:00,23.1,1140.25,27.925,1
2015-02-02 15:55:59,23.06,1089.2,27.772,1
2015-02-02 15:56:59,23.02,1042.6,27.556,1
2015-02-02 15:58:00,23.01,1051.1,27.8188333333333,1
2015-02-02 15:59:00,23.0,1059.6,28.0816666666667,1
2015-02-02 16:00:00,23.0,1064.6,27.956,1
2015-02-02 16:01:00,22.9816666666667,1061.66666666667,27.9083333333333,1
2015-02-02 16:01:59,23.0,1058.33333333333,27.9266666666667,1
2015-02-02 16:02:59,23.0,1061.6,28.018,1
2015-02-02 16:04:00,22.9816666666667,1070.33333333333,28.0666666666667,1
2015-02-02 16:05:00,22.945,1074.0,28.1,1
2015-02-02 16:06:00,23.0,1086.25,28.1,1
2015-02-02 16:07:00,22.956,1089.6,28.2,1
2015-02-02 16:08:00,22.9725,1085.0,28.1,1
2015-02-02 16:08:59,22.945,1085.0,28.1333333333333,1
2015-02-02 16:09:59,23.0,1088.0,28.2,1
2015-02-02 16:11:00,22.945,1091.75,28.2,1
2015-02-02 16:12:00,23.0,1091.33333333333,28.1333333333333,1
2015-02-02 16:13:00,22.912,1088.2,28.1,1
2015-02-02 16:14:00,22.89,1087.5,28.1,1
2015-02-02 16:14:59,22.89,1079.2,27.956,1
2015-02-02 16:15:59,22.865,1077.25,27.84,1
2015-02-02 16:17:00,22.8733333333333,1064.16666666667,27.6833333333333,1
2015-02-02 16:18:00,22.8733333333333,1056.4,27.6,1
2015-02-02 16:19:00,22.89,1043.6,27.6,1
2015-02-02 16:20:00,22.815,1039.5,27.445,1
2015-02-02 16:21:00,22.84,1028.66666666667,27.3733333333333,1
2015-02-02 16:21:59,22.79,1020.4,27.365,1
2015-02-02 16:23:00,22.79,1018.0,27.2,1
2015-02-02 16:24:00,22.79,1015.14285714286,27.1714285714286,1
2015-02-02 16:25:00,22.79,1006.33333333333,27.0666666666667,1
2015-02-02 16:25:59,22.79,1002.6,27.02,1
2015-02-02 16:27:00,22.772,993.2,26.934,1
2015-02-02 16:27:59,22.76,983.333333333333,26.8233333333333,1
2015-02-02 16:28:59,22.7,976.2,26.754,1
2015-02-02 16:30:00,22.7225,980.75,26.7,1
2015-02-02 16:31:00,22.7,971.333333333333,26.6833333333333,1
2015-02-02 16:32:00,22.7,966.666666666667,26.5333333333333,1
2015-02-02 16:33:00,22.7,963.0,26.4633333333333,1
2015-02-02 16:34:00,22.7,952.333333333333,26.445,1
2015-02-02 16:34:59,22.7,948.0,26.34,1
2015-02-02 16:36:00,22.7,945.0,26.26,1
2015-02-02 16:37:00,22.7,941.6,26.2,1
2015-02-02 16:38:00,22.7,929.8,26.16,1
2015-02-02 16:38:59,22.7,923.8,26.02,1
2015-02-02 16:40:00,22.7,919.0,26.1,1
2015-02-02 16:40:59,22.7,918.25,26.0,1
2015-02-02 16:41:59,22.7,919.4,25.934,1
2015-02-02 16:43:00,22.7,927.333333333333,25.9266666666667,1
2015-02-02 16:44:00,22.7,920.25,25.815,1
2015-02-02 16:45:00,22.68,902.4,25.772,1
2015-02-02 16:46:00,22.64,904.4,25.696,1
2015-02-02 16:46:59,22.6,897.0,25.575,1
2015-02-02 16:47:59,22.6666666666667,892.0,25.6,1
2015-02-02 16:49:00,22.6,882.5,25.525,1
2015-02-02 16:50:00,22.62,887.2,25.476,1
2015-02-02 16:51:00,22.625,889.25,25.55,1
2015-02-02 16:52:00,22.6,889.2,25.39,1
2015-02-02 16:53:00,22.65,880.75,25.42,1
2015-02-02 16:53:59,22.6,868.75,25.2675,1
2015-02-02 16:54:59,22.6,861.0,25.218,1
2015-02-02 16:56:00,22.6,860.6,25.2,1
2015-02-02 16:57:00,22.6,864.0,25.2,1
2015-02-02 16:58:00,22.6,859.0,25.15,1
2015-02-02 16:59:00,22.6,854.4,25.14,1
2015-02-02 16:59:59,22.6,847.4,25.15,1
2015-02-02 17:00:59,22.6,837.2,25.04,1
2015-02-02 17:02:00,22.6,834.75,25.05,1
2015-02-02 17:03:00,22.6,832.4,25.06,1
2015-02-02 17:04:00,22.6,832.0,25.0,1
2015-02-02 17:05:00,22.6,836.25,25.0,1
2015-02-02 17:06:00,22.6,832.6,25.0,1
2015-02-02 17:06:59,22.6,821.5,25.025,1
2015-02-02 17:08:00,22.6,832.4,25.1,1
2015-02-02 17:09:00,22.6,832.4,25.08,1
2015-02-02 17:10:00,22.56,830.75,25.02,1
2015-02-02 17:10:59,22.58,821.5,25.08,1
2015-02-02 17:12:00,22.575,818.25,25.075,1
2015-02-02 17:12:59,22.56,819.8,24.912,1
2015-02-02 17:13:59,22.55,822.5,25.2,1
2015-02-02 17:15:00,22.6,818.0,24.9175,1
2015-02-02 17:16:00,22.58,812.8,25.06,1
2015-02-02 17:17:00,22.5666666666667,816.5,24.9083333333333,1
2015-02-02 17:18:00,22.525,822.25,24.945,1
2015-02-02 17:19:00,22.54,825.0,24.89,1
2015-02-02 17:19:59,22.5,816.5,24.865,1
2015-02-02 17:21:00,22.5,811.5,24.9175,1
2015-02-02 17:22:00,22.5,811.0,24.9116666666667,1
2015-02-02 17:23:00,22.56,812.2,24.81,1
